"name","country","date_start","date_end","n","type","sampling_scheme","censoring","aggregation","publication"
"lso_fb_2025","LSO","2024-07-29","2025-06-16",11203810.6174146,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
"mar_fb_2025","MAR","2024-07-29","2025-06-16",588519993.945182,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"mdg_fb_2025","MDG","2024-07-29","2025-06-16",65234059.6448663,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"mli_fb_2025","MLI","2024-07-29","2025-06-16",128332576.64735,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"moz_fb_2025","MOZ","2024-07-29","2025-06-16",157730840.733031,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"mrt_fb_2025","MRT","2024-07-29","2025-06-16",38582564.2442643,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"mus_fb_2025","MUS","2024-07-29","2025-06-16",25265804.4198125,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
"mwi_fb_2025","MWI","2024-07-29","2025-06-16",83102502.8679095,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"myt_fb_2025","MYT","2024-07-29","2025-06-16",4224296.67232487,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
"nam_fb_2025","NAM","2024-07-29","2025-06-16",25052013.3419341,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"ner_fb_2025","NER","2024-07-29","2025-06-16",60385552.4354844,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"nga_fb_2025","NGA","2024-07-29","2025-06-16",1672639933.44474,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"rwa_fb_2025","RWA","2024-07-29","2025-06-16",43492820.5962016,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"sen_fb_2025","SEN","2024-07-29","2025-06-16",167804919.735402,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"sle_fb_2025","SLE","2024-07-29","2025-06-16",53945379.0738982,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"ssd_fb_2025","SSD","2024-07-29","2025-06-16",26814646.6696371,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"stp_fb_2025","STP","2024-07-29","2025-06-16",3357344.24396631,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"swz_fb_2025","SWZ","2024-07-29","2025-06-16",8148717.67313396,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"syc_fb_2025","SYC","2024-07-29","2025-06-16",1806172.30029071,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
"tcd_fb_2025","TCD","2024-07-29","2025-06-16",41279223.9341329,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"tgo_fb_2025","TGO","2024-07-29","2025-06-16",72154226.9262355,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"tun_fb_2025","TUN","2024-07-29","2025-06-16",204893510.726086,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"tza_fb_2025","TZA","2024-07-29","2025-06-16",340587907.279704,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"uga_fb_2025","UGA","2024-07-29","2025-06-16",162481432.037242,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"zaf_fb_2025","ZAF","2024-07-29","2025-06-16",969053757.795241,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"zmb_fb_2025","ZMB","2024-07-29","2025-06-16",133952176.120194,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"zwe_fb_2025","ZWE","2024-07-29","2025-06-16",95885371.2886971,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
